time,symbol,volume,vol_ma20,vol_ma50,vol_ma100,vol_ma200,vol_vs_ma20_pct,vol_vs_ma50_pct,vol_vs_ma100_pct,vol_vs_ma200_pct,flag_ma20,flag_ma50,flag_ma100,flag_ma200,flag_break_vol_100,flag_break_vol_200
2025-02-14,SPI,195200,,,,,,,,,NONE,NONE,NONE,NONE,False,False
2025-02-21,LCD,350100,,,,,,,,,NONE,NONE,NONE,NONE,False,False
2025-02-25,KPF,2218200,396775.0,,,,459.06,,,,GT_50,NONE,NONE,NONE,False,False
2025-03-11,SPD,1600,,,,,,,,,NONE,NONE,NONE,NONE,False,False
2025-03-11,PSH,5145100,729690.0,,,,605.11,,,,GT_50,NONE,NONE,NONE,False,False
2025-03-14,AMV,3397000,,,,,,,,,NONE,NONE,NONE,NONE,False,False
2025-03-28,POB,100,,,,,,,,,NONE,NONE,NONE,NONE,False,False
2025-04-25,DTE,200,,,,,,,,,NONE,NONE,NONE,NONE,False,False
2025-05-23,LCC,1000,,,,,,,,,NONE,NONE,NONE,NONE,False,False
2025-05-27,VMA,0,0.0,0.0,,,,,,,NONE,NONE,NONE,NONE,False,False
2025-05-28,UEM,0,0.0,106.06,,,,-100.0,,,NONE,LT_50,NONE,NONE,False,False
2025-05-29,VBG,0,0.0,0.0,,,,,,,NONE,NONE,NONE,NONE,False,False
2025-05-30,TQN,0,0.0,0.0,,,,,,,NONE,NONE,NONE,NONE,False,False
2025-05-30,TOP,338300,61170.0,,,,453.05,,,,GT_50,NONE,NONE,NONE,False,False
2025-05-30,VC5,1300,,,,,,,,,NONE,NONE,NONE,NONE,False,False
2025-05-30,L44,70000,,,,,,,,,NONE,NONE,NONE,NONE,False,False
2025-05-30,NHV,918400,103150.0,,,,790.35,,,,GT_50,NONE,NONE,NONE,False,False
2025-05-30,ATB,236600,59215.0,,,,299.56,,,,GT_50,NONE,NONE,NONE,False,False
2025-05-30,SSN,51800,18445.0,,,,180.83,,,,GT_50,NONE,NONE,NONE,False,False
2025-06-02,UMC,0,0.0,0.0,,,,,,,NONE,NONE,NONE,NONE,False,False
2025-06-02,TB8,0,5.0,10.0,,,-100.0,-100.0,,,LT_50,LT_50,NONE,NONE,False,False
2025-06-02,MDA,0,0.0,0.0,,,,,,,NONE,NONE,NONE,NONE,False,False
2025-06-03,CJC,300,,,,,,,,,NONE,NONE,NONE,NONE,False,False
2025-06-06,PTH,0,0.0,0.04,4.67,,,-100.0,-100.0,,NONE,LT_50,LT_50,NONE,False,False
2025-06-10,BED,100,10.0,4.0,,,900.0,2400.0,,,GT_50,GT_50,NONE,NONE,False,False
2025-06-10,TBW,0,0.0,0.0,0.0,,,,,,NONE,NONE,NONE,NONE,False,False
2025-06-18,CMK,0,0.0,0.0,0.0,,,,,,NONE,NONE,NONE,NONE,False,False
