Ticker,ComGroupCode,nganh
AAA,HOSE,Hóa chất
AAT,HOSE,Hàng cá nhân & Gia dụng
ABR,HOSE,Hàng & Dịch vụ Công nghiệp
ABS,HOSE,Hóa chất
ACC,HOSE,Xây dựng và Vật liệu
ACG,HOSE,Tài nguyên Cơ bản
APC,Upcom,Y tế
BCE,HOSE,Xây dựng và Vật liệu
BCF,HNX,Thực phẩm và đồ uống
BFC,HOSE,Hóa chất
BGE,Upcom,"Điện, nước & xăng dầu khí đốt"
BHN,HOSE,Thực phẩm và đồ uống
BNA,HNX,Thực phẩm và đồ uống
BRR,Upcom,Hóa chất
BSH,Upcom,Thực phẩm và đồ uống
BTW,HNX,"Điện, nước & xăng dầu khí đốt"
CAN,HNX,Thực phẩm và đồ uống
CC1,Upcom,Xây dựng và Vật liệu
CDC,HOSE,Xây dựng và Vật liệu
CEO,HNX,Bất động sản
CII,HOSE,Xây dựng và Vật liệu
CKV,HNX,Công nghệ Thông tin
CMM,Upcom,Thực phẩm và đồ uống
CMW,Upcom,"Điện, nước & xăng dầu khí đốt"
COM,HOSE,Bán lẻ
CPC,HNX,Hóa chất
CTB,HNX,Hàng & Dịch vụ Công nghiệp
CTR,HOSE,Xây dựng và Vật liệu
DCT,Upcom,Xây dựng và Vật liệu
DDV,Upcom,Hóa chất
DHD,Upcom,Y tế
DID,Upcom,Xây dựng và Vật liệu
DIH,HNX,Xây dựng và Vật liệu
DNP,HNX,Xây dựng và Vật liệu
DP1,Upcom,Y tế
DP3,HNX,Y tế
DSP,Upcom,Du lịch và Giải trí
DTI,Upcom,Du lịch và Giải trí
DTP,Upcom,Y tế
DXG,HOSE,Bất động sản
DXS,HOSE,Bất động sản
EVG,HOSE,Xây dựng và Vật liệu
GAS,HOSE,"Điện, nước & xăng dầu khí đốt"
GCF,Upcom,Thực phẩm và đồ uống
GDW,HNX,"Điện, nước & xăng dầu khí đốt"
GMD,HOSE,Hàng & Dịch vụ Công nghiệp
GMH,HOSE,Xây dựng và Vật liệu
GMX,HNX,Xây dựng và Vật liệu
HAH,HOSE,Hàng & Dịch vụ Công nghiệp
HAN,Upcom,Xây dựng và Vật liệu
HAT,HNX,Thực phẩm và đồ uống
HDM,Upcom,Hàng cá nhân & Gia dụng
HIG,Upcom,
HMR,HNX,Xây dựng và Vật liệu
HPI,Upcom,Bất động sản
HSP,Upcom,Xây dựng và Vật liệu
HVX,HOSE,Xây dựng và Vật liệu
IDC,HNX,Bất động sản
ISH,Upcom,"Điện, nước & xăng dầu khí đốt"
KHW,Upcom,"Điện, nước & xăng dầu khí đốt"
KKC,HNX,Tài nguyên Cơ bản
KST,HNX,Công nghệ Thông tin
LAW,Upcom,"Điện, nước & xăng dầu khí đốt"
LCM,Upcom,Tài nguyên Cơ bản
LLM,Upcom,Hàng & Dịch vụ Công nghiệp
MBG,HNX,Xây dựng và Vật liệu
MCC,HNX,Xây dựng và Vật liệu
MCM,HOSE,Thực phẩm và đồ uống
MSH,HOSE,Hàng cá nhân & Gia dụng
MST,HNX,Xây dựng và Vật liệu
NAW,Upcom,"Điện, nước & xăng dầu khí đốt"
NCT,HOSE,Hàng & Dịch vụ Công nghiệp
PBP,HNX,Hàng & Dịch vụ Công nghiệp
PDR,HOSE,Bất động sản
PLC,HNX,Hóa chất
PMG,HOSE,"Điện, nước & xăng dầu khí đốt"
PPH,Upcom,Hàng cá nhân & Gia dụng
PPT,HNX,"Điện, nước & xăng dầu khí đốt"
PVB,HNX,Dầu khí
PVL,Upcom,Bất động sản
PVM,Upcom,Hàng & Dịch vụ Công nghiệp
PVR,Upcom,Bất động sản
PVS,HNX,Dầu khí
PXT,Upcom,Xây dựng và Vật liệu
QNS,Upcom,Thực phẩm và đồ uống
S4A,HOSE,"Điện, nước & xăng dầu khí đốt"
SBA,HOSE,"Điện, nước & xăng dầu khí đốt"
SBB,Upcom,Thực phẩm và đồ uống
SBG,HOSE,Hàng & Dịch vụ Công nghiệp
SBV,HOSE,Bán lẻ
SC5,HOSE,Xây dựng và Vật liệu
SCL,Upcom,Xây dựng và Vật liệu
SCR,HOSE,Bất động sản
SJG,Upcom,Xây dựng và Vật liệu
SKH,Upcom,Thực phẩm và đồ uống
SMT,HNX,Công nghệ Thông tin
SNZ,Upcom,Xây dựng và Vật liệu
ST8,HOSE,Công nghệ Thông tin
SVD,HOSE,Hàng cá nhân & Gia dụng
SVH,Upcom,"Điện, nước & xăng dầu khí đốt"
SVT,HOSE,Bán lẻ
TDT,HNX,Hàng cá nhân & Gia dụng
TET,HNX,Hàng cá nhân & Gia dụng
THB,HNX,Thực phẩm và đồ uống
THG,HOSE,Xây dựng và Vật liệu
THS,HNX,Bán lẻ
TNT,HOSE,Tài nguyên Cơ bản
TPP,HNX,Hàng & Dịch vụ Công nghiệp
TRC,HOSE,Hóa chất
TSC,HOSE,Hóa chất
TTN,Upcom,Viễn thông
VC7,HNX,Xây dựng và Vật liệu
VC9,HNX,Xây dựng và Vật liệu
VCA,HOSE,Tài nguyên Cơ bản
VCW,Upcom,"Điện, nước & xăng dầu khí đốt"
