STT,Mã CK,Tên công ty,Ngày thông báo,Lý do
1,AAV,Công ty cổ phần AAV Group,10/10/2025,"- Chứng khoán bị cảnh báo, kiểm soát; 
- Lợi nhuận sau thuế 6 tháng đầu năm 2025 của công ty mẹ tại Báo cáo tài chính hợp nhất bán niên năm 2025 đã được soát xét  là số âm."
2,AMV,Công ty cổ phần SXKD Dược và trang thiết bị y tế Việt Mỹ,10/10/2025,"- Chứng khoán thuộc diện bị kiểm soát, hạn chế giao dịch, đình chỉ giao dịch;
- Lợi nhuận sau thuế 6 tháng đầu năm 2025 của công ty mẹ tại Báo cáo tài chính hợp nhất bán niên năm 2025 đã được soát xét  là số âm."
3,API,Công ty cổ phần Đầu tư Châu á - Thái Bình Dương,10/10/2025,"- Chứng khoán thuộc diện bị kiểm soát;
- Lợi nhuận sau thuế 6 tháng đầu năm 2025 của công ty mẹ tại Báo cáo tài chính hợp nhất bán niên năm 2025 đã được soát xét  là số âm."
4,APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,10/10/2025,"Chứng khoán thuộc diện bị cảnh báo, kiểm soát."
5,BCC,Công ty cổ phần Xi măng Bỉm Sơn,10/10/2025,Chứng khoán thuộc diện bị cảnh báo.
6,BNA,Công ty cổ phần Tập đoàn Đầu tư Bảo Ngọc,10/10/2025,Lợi nhuận sau thuế của công ty mẹ 6 tháng đầu năm 2025 tại Báo cáo tài chính hợp nhất bán niên soát xét năm 2025 là số âm
7,BTS,Công ty cổ phần Xi măng Vicem Bút Sơn,10/10/2025,"Chứng khoán thuộc diện bị cảnh báo, kiểm soát."
8,CAG,CTCP Cảng An Giang,10/10/2025,"- Chứng khoán thuộc diện bị cảnh báo; 
- Lợi nhuận sau thuế 6 tháng đầu năm 2025 tại Báo cáo tài chính bán niên soát xét năm 2025 là số âm."
9,CET,Công ty cổ phần HTC Holding,10/10/2025,Chứng khoán thuộc diện bị hạn chế giao dịch
10,DDG,Công ty cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,10/10/2025,"Chứng khoán thuộc diện bị cảnh báo, kiểm soát."
11,DHP,CTCP Điện cơ Hải Phòng,25/12/2025,Chứng khoán thuộc diện bị cảnh báo
12,DS3,Công ty cổ phần DS3,10/10/2025,Chứng khoán thuộc diện bị cảnh báo.
13,ECI,CTCP Tập đoàn ECI,10/10/2025,"Chứng khoán thuộc diện bị cảnh báo, kiểm soát."
