STT,Mã CK,Tên tổ chức phát hành,Tình trạng chứng khoán
1,BCC,Công ty cổ phần Xi măng Bỉm Sơn,Cảnh báo
2,BTS,Công ty cổ phần Xi măng Vicem Bút Sơn,Cảnh báo
3,BTS,Công ty cổ phần Xi măng Vicem Bút Sơn,Kiểm soát
4,C69,CTCP Xây dựng 1369,Cảnh báo
5,CJC,CTCP Cơ điện Miền Trung,Cảnh báo
6,CTC,CTCP Tập đoàn Hoàng Kim Tây Nguyên,Cảnh báo
7,DS3,Công ty cổ phần DS3,Cảnh báo
8,DST,Công ty cổ phần Đầu tư Sao Thăng Long,Cảnh báo
9,ECI,Công ty cổ phần Tập đoàn ECI,Cảnh báo
10,FID,Công ty cổ phần Đầu tư và Phát triển Doanh nghiệp Việt Nam,Cảnh báo
11,FID,Công ty cổ phần Đầu tư và Phát triển Doanh nghiệp Việt Nam,Kiểm soát
12,HCT,Công ty cổ phần Thương mại-Dịch vụ-Vận tải Xi măng Hải Phòng,Cảnh báo
13,HDA,Công ty cổ phần Hãng sơn Đông Á,Cảnh báo
14,HOM,Công ty cổ phần Xi măng VICEM Hoàng Mai,Cảnh báo
15,IDJ,Công ty cổ phần Đầu tư IDJ Việt Nam,Cảnh báo
16,KKC,Công ty Cổ phần Tập đoàn Thành Thái,Cảnh báo
17,LDP,CTCP Dược Lâm Đồng - Ladophar,Kiểm soát
18,LDP,CTCP Dược Lâm Đồng - Ladophar,Cảnh báo
19,MAC,CTCP Tập đoàn Macstar,Cảnh báo
20,MAC,CTCP Tập đoàn Macstar,Kiểm soát
21,MAS,CTCP Dịch vụ Hàng Không Sân Bay Đà Nẵng,Kiểm soát
22,MAS,CTCP Dịch vụ Hàng Không Sân Bay Đà Nẵng,Cảnh báo
23,MST,CTCP Đầu tư MST,Cảnh báo
24,NBP,Công ty cổ phần  Nhiệt điện Ninh Bình,Cảnh báo
25,NDN,CTCP Đầu tư phát triển Nhà Đà Nẵng,Cảnh báo
26,NVB,Ngân hàng TMCP Quốc Dân,Cảnh báo
27,OCH,CTCP One Capital Hospitality,Cảnh báo
28,PEN,CTCP Xây lắp III Petrolimex,Kiểm soát
29,PEN,CTCP Xây lắp III Petrolimex,Cảnh báo
30,PGT,CTCP PGT Holdings,Cảnh báo
31,PPE,Công Ty Cổ Phần Tư Vấn Đầu Tư PP ENTERPRISE,Cảnh báo
32,PV2,Công ty cổ phần Đầu tư PV2,Cảnh báo
33,SDA,CTCP SIMCO Sông Đà,Kiểm soát
34,SDU,CTCP Đầu tư xây dựng và Phát triển đô thị Sông Đà,Kiểm soát
35,SPC,CTCP Bảo vệ Thực vật Sài Gòn,Cảnh báo
36,SRA,CTCP SARA Việt Nam,Kiểm soát
37,SSM,CTCP Chế tạo Kết cấu thép VNECO.SSM,Kiểm soát
38,SSM,CTCP Chế tạo Kết cấu thép VNECO.SSM,Cảnh báo
39,TXM,CTCP Vicem Thạch cao Xi măng,Cảnh báo
40,VC2,Công ty cổ phần Đầu tư và Xây dựng VINA2,Cảnh báo
41,VC2,Công ty cổ phần Đầu tư và Xây dựng VINA2,Kiểm soát
42,VC9,Công ty cổ phần xây dựng số 9- VC9,Cảnh báo
43,VE1,CTCP Xây dựng điện VNECO 1,Cảnh báo
44,VE4,CTCP Xây dựng Điện Vneco 4,Cảnh báo
45,VHL,CTCP Viglacera Hạ Long,Cảnh báo
46,VIG,Công ty cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,Cảnh báo
47,VNT,CTCP Giao nhận Vận tải Ngoại thương,Cảnh báo
48,VTJ,CTCP Thương mại và Đầu tư Vi na ta ba,Cảnh báo
49,VTV,Công ty Cổ phần Năng lượng và Môi trường VICEM,Cảnh báo
